,Review,Liked,aspect_category
326,You won't be disappointed.,positive,B003VTN95K
327,"They could serve it with just the vinaigrette and it may make for a better overall dish, but it was still very good.",positive,B003VTN95K
328,"I go to far too many places and I've never seen any restaurant that serves a 1 egg breakfast, especially for $4.00.",negative,B003VTN95K
329,When my mom and I got home she immediately got sick and she only had a few bites of salad.,negative,B003VTN95K
330,The servers are not pleasant to deal with and they don't always honor Pizza Hut coupons.,negative,B003VTN95K
331,"Both of them were truly unbelievably good, and I am so glad we went back.",positive,B007DJ0O9I
332,"We had fantastic service, and were pleased by the atmosphere.",positive,B007DJ0O9I
333,Everything was gross.,negative,B00469VSJI
334,I love this place.,positive,B00469VSJI
335,Great service and food.,positive,B00469VSJI
336,First - the bathrooms at this location were dirty- Seat covers were not replenished & just plain yucky!!!,negative,B002SRAU80
337,"The burger... I got the ""Gold Standard"" a $17 burger and was kind of disappointed.",negative,B0067LDV66
338,"OMG, the food was delicioso!",positive,B0067LDV66
339,There is nothing authentic about this place.,negative,B000HKYP9A
340,the spaghetti is nothing special whatsoever.,negative,B000HKYP9A
341,"Of all the dishes, the salmon was the best, but all were great.",positive,B000HKYP9A
342,The vegetables are so fresh and the sauce feels like authentic Thai.,positive,B000HKYP9A
343,It's worth driving up from Tucson!,positive,B000HKYP9A
344,The selection was probably the worst I've seen in Vegas.....there was none.,negative,B000HKYP9A
345,Pretty good beer selection too.,positive,B000HKYP9A
346,"This place is like Chipotle, but BETTER.",positive,B000HKYP9A
347,"Classy/warm atmosphere, fun and fresh appetizers, succulent steaks (Baseball steak!!!!!",positive,B00067AD4U
348,5 stars for the brick oven bread app!,positive,B00067AD4U
349,"I have eaten here multiple times, and each time the food was delicious.",positive,B00067AD4U
350,We sat another ten minutes and finally gave up and left.,negative,B00067AD4U
351,He was terrible!,negative,B0029OWDAU
352,Everyone is treated equally special.,positive,B000SEJ84M
353,It shouldn't take 30 min for pancakes and eggs.,negative,B001LMNXFA
354,It was delicious!!!,positive,B001LMNXFA
355,"On the good side, the staff was genuinely pleasant and enthusiastic - a real treat.",positive,B002J2DO8W
356,"Sadly, Gordon Ramsey's Steak is a place we shall sharply avoid during our next trip to Vegas.",negative,B000U9V5AU
357,As always the evening was wonderful and the food delicious!,positive,B001SB099M
358,Best fish I've ever had in my life!,positive,B0041QJSJS
359,(The bathroom is just next door and very nice.),positive,B0041QJSJS
360,The buffet is small and all the food they offered was BLAND.,negative,B0041QJSJS
361,This is an Outstanding little restaurant with some of the Best Food I have ever tasted.,positive,B0041QJSJS
362,Pretty cool I would say.,positive,B0041QJSJS
363,Definitely a turn off for me & i doubt I'll be back unless someone else is buying.,negative,B00437JI8Q
364,Server did a great job handling our large rowdy table.,positive,B00437JI8Q
365,"I find wasting food to be despicable, but this just wasn't food.",negative,B00437JI8Q
366,My wife had the Lobster Bisque soup which was lukewarm.,negative,B00437JI8Q
367,Would come back again if I had a sushi craving while in Vegas.,positive,B00437JI8Q
368,"The staff are great, the ambiance is great.",positive,B002O3VHXU
369,He deserves 5 stars.,positive,B002O3VHXU
370,I left with a stomach ache and felt sick the rest of the day.,negative,B002O3VHXU
371,They dropped more than the ball.,negative,B002O3VHXU
372,"The dining space is tiny, but elegantly decorated and comfortable.",positive,B002O3VHXU
373,"They will customize your order any way you'd like, my usual is Eggplant with Green Bean stir fry, love it!",positive,B002O3VHXU
374,And the beans and rice were mediocre at best.,negative,B0057FTBYO
375,Best tacos in town by far!!,positive,B0087HW5E2
376,I took back my money and got outta there.,negative,B003YXWAF8
377,"In an interesting part of town, this place is amazing.",positive,B003YXWAF8
378,RUDE & INCONSIDERATE MANAGEMENT.,negative,B003YXWAF8
379,"The staff are now not as friendly, the wait times for being served are horrible, no one even says hi for the first 10 minutes.",negative,B003YXWAF8
380,I won't be back.,negative,B003YXWAF8
381,They have great dinners.,positive,B003YXWAF8
382,The service was outshining & I definitely recommend the Halibut.,positive,B000UXA3L8
383,The food was terrible.,negative,B000UXA3L8
384,WILL NEVER EVER GO BACK AND HAVE TOLD MANY PEOPLE WHAT HAD HAPPENED.,negative,B004AVYUOW
385,I don't recommend unless your car breaks down in front of it and you are starving.,negative,B001ESOQAM
386,I will come back here every time I'm in Vegas.,positive,B001ESOQAM
387,This place deserves one star and 90% has to do with the food.,negative,B001ESOQAM
388,This is a disgrace.,negative,B001ESOQAM
389,Def coming back to bowl next time,positive,B001ESOQA2
390,"If you want healthy authentic or ethic food, try this place.",positive,B003XT4AV0
391,I will continue to come here on ladies night andddd date night ... highly recommend this place to anyone who is in the area.,positive,B003XT4AV0
392,"I have been here several times in the past, and the experience has always been great.",positive,B001FA1MCO
393,We walked away stuffed and happy about our first Vegas buffet experience.,positive,B001FA1MCO
394,Service was excellent and prices are pretty reasonable considering this is Vegas and located inside the Crystals shopping mall by Aria.,positive,B001ELL6O8
395,"To summarize... the food was incredible, nay, transcendant... but nothing brings me joy quite like the memory of the pneumatic condiment dispenser.",positive,B001ELL6O8
396,I'm probably one of the few people to ever go to Ians and not like it.,negative,B001ELL6O8
397,Kids pizza is always a hit too with lots of great side dish options for the kiddos!,positive,B001ELL6O8
398,Service is perfect and the family atmosphere is nice to see.,positive,B001ELL6O8
399,Cooked to perfection and the service was impeccable.,positive,B001ELL6O8
400,This one is simply a disappointment.,negative,B001ELL6O8
401,"Overall, I was very disappointed with the quality of food at Bouchon.",negative,B001ELL6O8
402,I don't have to be an accountant to know I'm getting screwed!,negative,B001ELL6O8
403,"Great place to eat, reminds me of the little mom and pop shops in the San Francisco Bay Area.",positive,B006CGURWM
404,Today was my first taste of a Buldogis Gourmet Hot Dog and I have to tell you it was more than I ever thought possible.,positive,B00250I0EG
405,Left very frustrated.,negative,B000C21OOM
406,I'll definitely be in soon again.,positive,B003D4O92K
407,Food was really good and I got full petty fast.,positive,B003D4O92K
408,Service was fantastic.,positive,B001IZM8A6
409,TOTAL WASTE OF TIME.,negative,B001IZM8A6
410,I don't know what kind it is but they have the best iced tea.,positive,B0089PI9OC
411,"Come hungry, leave happy and stuffed!",positive,B00061KYVI
412,"For service, I give them no stars.",negative,B00061KYVI
413,I can assure you that you won't be disappointed.,positive,B00061KYVI
414,I can take a little bad service but the food sucks.,negative,B003XV5LHK
415,Gave up trying to eat any of the crust (teeth still sore).,negative,B005WU7V00
416,But now I was completely grossed out.,negative,B005CFC9XY
417,I really enjoyed eating here.,positive,B000SEJ842
418,First time going but I think I will quickly become a regular.,positive,B004X8TK8I
419,"Our server was very nice, and even though he looked a little overwhelmed with all of our needs, he stayed professional and friendly until the end.",positive,B004X8TK8I
420,From what my dinner companions told me...everything was very fresh with nice texture and taste.,positive,B004X8TK8I
421,"On the ground, right next to our table was a large, smeared, been-stepped-in-and-tracked-everywhere pile of green bird poop.",negative,B004X8TK8I
422,"Furthermore, you can't even find hours of operation on the website!",negative,B000G6RYNE
423,We've tried to like this place but after 10+ times I think we're done with them.,negative,B000G6RYNE
424,What a mistake that was!,negative,B000G6RYNE
425,No complaints!,positive,B000G6RYNE
426,This is some seriously good pizza and I'm an expert/connisseur on the topic.,positive,B000G6RYNE
427,Waiter was a jerk.,negative,B000G6RYNE
428,"Strike 2, who wants to be rushed.",negative,B000G6RYNE
429,These are the nicest restaurant owners I've ever come across.,positive,B000G6RYNE
430,I never come again.,negative,B000G6RYNE
431,We loved the biscuits!!!,positive,B000G6RYNE
432,Service is quick and friendly.,positive,B000G6RYNE
433,Ordered an appetizer and took 40 minutes and then the pizza another 10 minutes.,negative,B000G6RYNE
434,So absolutley fantastic.,positive,B000G6RYNE
435,It was a huge awkward 1.5lb piece of cow that was 3/4ths gristle and fat.,negative,B000G6RYNE
436,definitely will come back here again.,positive,B000G6RYNE
437,I like Steiners because it's dark and it feels like a bar.,positive,B000G6RYNE
438,Wow very spicy but delicious.,positive,B000G6RYNE
439,"If you're not familiar, check it out.",positive,B000G6RYNE
440,I'll take my business dinner dollars elsewhere.,negative,B000G6RYNE
441,I'd love to go back.,positive,B000G6RYNE
442,"Anyway, this FS restaurant has a wonderful breakfast/lunch.",positive,B000G6RYNE
443,Nothing special.,negative,B000G6RYNE
444,Each day of the week they have a different deal and it's all so delicious!,positive,B000G6RYNE
445,"Not to mention the combination of pears, almonds and bacon is a big winner!",positive,B000G6RYNE
446,Will not be back.,negative,B000G6RYNE
447,Sauce was tasteless.,negative,B000G6RYNE
448,"The food is delicious and just spicy enough, so be sure to ask for spicier if you prefer it that way.",positive,B000G6RYNE
449,My ribeye steak was cooked perfectly and had great mesquite flavor.,positive,B000G6RYNE
450,I don't think we'll be going back anytime soon.,negative,B000G6RYNE
451,Food was so gooodd.,positive,B000G6RYNE
452,I am far from a sushi connoisseur but I can definitely tell the difference between good food and bad food and this was certainly bad food.,negative,B000G6RYNE
453,I was so insulted.,negative,B000G6RYNE
454,The last 3 times I had lunch here has been bad.,negative,B000G6RYNE
455,The chicken wings contained the driest chicken meat I have ever eaten.,negative,B000G6RYNE
456,"The food was very good and I enjoyed every mouthful, an enjoyable relaxed venue for couples small family groups etc.",positive,B000G6RYNE
457,Nargile - I think you are great.,positive,B000G6RYNE
458,Best tater tots in the southwest.,positive,B000G6RYNE
459,We loved the place.,positive,B000G6RYNE
460,Definitely not worth the $3 I paid.,negative,B000G6RYNE
461,The vanilla ice cream was creamy and smooth while the profiterole (choux) pastry was fresh enough.,positive,B000G6RYNE
462,Im in AZ all the time and now have my new spot.,positive,B000G6RYNE
463,The manager was the worst.,negative,B000G6RYNE
464,The inside is really quite nice and very clean.,positive,B000G6RYNE
465,The food was outstanding and the prices were very reasonable.,positive,B000G6RYNE
466,I don't think I'll be running back to Carly's anytime soon for food.,negative,B000G6RYNE
467,"This is was due to the fact that it took 20 minutes to be acknowledged, then another 35 minutes to get our food...and they kept forgetting things.",negative,B000G6RYNE
468,"Love the margaritas, too!",positive,B000G6RYNE
469,This was my first and only Vegas buffet and it did not disappoint.,positive,B000G6RYNE
470,"Very good, though!",positive,B000G6RYNE
471,The one down note is the ventilation could use some upgrading.,negative,B000G6RYNE
472,Great pork sandwich.,positive,B000G6RYNE
473,Don't waste your time here.,negative,B000G6RYNE
474,"Total letdown, I would much rather just go to the Camelback Flower Shop and Cartel Coffee.",negative,B000G6RYNE
475,"Third, the cheese on my friend's burger was cold.",negative,B000G6RYNE
476,We enjoy their pizza and brunch.,positive,B000G6RYNE
477,The steaks are all well trimmed and also perfectly cooked.,positive,B000G6RYNE
478,We had a group of 70+ when we claimed we would only have 40 and they handled us beautifully.,positive,B000G6RYNE
479,I LOVED it!,positive,B000G6RYNE
480,We asked for the bill to leave without eating and they didn't bring that either.,negative,B000G6RYNE
481,"This place is a jewel in Las Vegas, and exactly what I've been hoping to find in nearly ten years living here.",positive,B000G6RYNE
482,Seafood was limited to boiled shrimp and crab legs but the crab legs definitely did not taste fresh.,negative,B000G6RYNE
483,The selection of food was not the best.,negative,B000G6RYNE
484,Delicious and I will absolutely be back!,positive,B000G6RYNE
485,"This isn't a small family restaurant, this is a fine dining establishment.",positive,B000G6RYNE
486,They had a toro tartare with a cavier that was extraordinary and I liked the thinly sliced wagyu with white truffle.,positive,B000G6RYNE
487,I dont think I will be back for a very long time.,negative,B000G6RYNE
488,"It was attached to a gas station, and that is rarely a good sign.",negative,B000G6RYNE
489,How awesome is that.,positive,B000G6RYNE
490,I will be back many times soon.,positive,B000G6RYNE
491,The menu had so much good stuff on it i could not decide!,positive,B000G6RYNE
492,"Worse of all, he humiliated his worker right in front of me..Bunch of horrible name callings.",negative,B000G6RYNE
493,CONCLUSION: Very filling meals.,positive,B000G6RYNE
494,Their daily specials are always a hit with my group.,positive,B000G6RYNE
495,And then tragedy struck.,negative,B000G6RYNE
496,The pancake was also really good and pretty large at that.,positive,B000G6RYNE
497,"This was my first crawfish experience, and it was delicious!",positive,B000G6RYNE
498,Their monster chicken fried steak and eggs is my all time favorite.,positive,B000G6RYNE
499,Waitress was sweet and funny.,positive,B000G6RYNE
500,"I also had to taste my Mom's multi-grain pumpkin pancakes with pecan butter and they were amazing, fluffy, and delicious!",positive,B000G6RYNE
501,"I'd rather eat airline food, seriously.",negative,B000G6RYNE
502,Cant say enough good things about this place.,positive,B000G6RYNE
503,The ambiance was incredible.,positive,B000G6RYNE
504,The waitress and manager are so friendly.,positive,B000G6RYNE
505,I would not recommend this place.,negative,B000G6RYNE
506,Overall I wasn't very impressed with Noca.,negative,B000G6RYNE
507,My gyro was basically lettuce only.,negative,B000G6RYNE
508,Terrible service!,negative,B000G6RYNE
509,Thoroughly disappointed!,negative,B000G6RYNE
510,"I don't each much pasta, but I love the homemade /hand made pastas and thin pizzas here.",positive,B000G6RYNE
511,"Give it a try, you will be happy you did.",positive,B000G6RYNE
512,By far the BEST cheesecurds we have ever had!,positive,B000G6RYNE
513,Reasonably priced also!,positive,B000G6RYNE
514,Everything was perfect the night we were in.,positive,B000G6RYNE
515,The food is very good for your typical bar food.,positive,B000G6RYNE
516,it was a drive to get there.,negative,B000G6RYNE
517,"At first glance it is a lovely bakery cafe - nice ambiance, clean, friendly staff.",positive,B000G6RYNE
518,"Anyway, I do not think i will go back there.",negative,B000G6RYNE
519,"Point your finger at any item on the menu, order it and you won't be disappointed.",positive,B000G6RYNE
520,"Oh this is such a thing of beauty, this restaurant.",positive,B000G6RYNE
521,If you haven't gone here GO NOW!,positive,B000G6RYNE
522,"A greasy, unhealthy meal.",negative,B000G6RYNE
523,first time there and might just be the last.,negative,B000G6RYNE
524,Those burgers were amazing.,positive,B000G6RYNE
525,"Similarly, the delivery man did not say a word of apology when our food was 45 minutes late.",negative,B000G6RYNE
526,And it was way to expensive.,negative,B000G6RYNE
527,"Be sure to order dessert, even if you need to pack it to-go - the tiramisu and cannoli are both to die for.",positive,B000G6RYNE
528,This was my first time and I can't wait until the next.,positive,B000G6RYNE
529,The bartender was also nice.,positive,B000G6RYNE
530,Everything was good and tasty!,positive,B000G6RYNE
531,This place is two thumbs up....way up.,positive,B000G6RYNE
532,"The best place in Vegas for breakfast (just check out a Sat, or Sun.",positive,B000G6RYNE
533,"If you love authentic Mexican food and want a whole bunch of interesting, yet delicious meats to choose from, you need to try this place.",positive,B000G6RYNE
534,Terrible management.,negative,B000G6RYNE
535,An excellent new restaurant by an experienced Frenchman.,positive,B000G6RYNE
536,If there were zero stars I would give it zero stars.,negative,B000G6RYNE
537,"Great steak, great sides, great wine, amazing desserts.",positive,B000G6RYNE
538,Worst martini ever!,negative,B000G6RYNE
539,The steak and the shrimp are in my opinion the best entrees at GC.,positive,B000G6RYNE
540,I had the opportunity today to sample your amazing pizzas!,positive,B000G6RYNE
541,We waited for thirty minutes to be seated (although there were 8 vacant tables and we were the only folks waiting).,negative,B000G6RYNE
542,The yellowtail carpaccio was melt in your mouth fresh.,positive,B000G6RYNE
543,I won't try going back there even if it's empty.,negative,B000G6RYNE
544,"No, I'm going to eat the potato that I found some strangers hair in it.",negative,B000G6RYNE
545,Just spicy enough.. Perfect actually.,positive,B000G6RYNE
546,Last night was my second time dining here and I was so happy I decided to go back!,positive,B000G6RYNE
547,"not even a ""hello, we will be right with you.""",negative,B000G6RYNE
548,The desserts were a bit strange.,negative,B000G6RYNE
549,My boyfriend and I came here for the first time on a recent trip to Vegas and could not have been more pleased with the quality of food and service.,positive,B000G6RYNE
550,"I really do recommend this place, you can go wrong with this donut place!",positive,B000G6RYNE
551,Nice ambiance.,positive,B000G6RYNE
552,I would recommend saving room for this!,positive,B000G6RYNE
553,I guess maybe we went on an off night but it was disgraceful.,negative,B000G6RYNE
554,"However, my recent experience at this particular location was not so good.",negative,B000G6RYNE
555,"I know this is not like the other restaurants at all, something is very off here!",negative,B000G6RYNE
556,AVOID THIS ESTABLISHMENT!,negative,B000G6RYNE
557,I think this restaurant suffers from not trying hard enough.,negative,B000G6RYNE
558,All of the tapas dishes were delicious!,positive,B000G6RYNE
559,I *heart* this place.,positive,B000G6RYNE
560,My salad had a bland vinegrette on the baby greens and hearts of Palm.,negative,B000G6RYNE
561,After two I felt disgusting.,negative,B000G6RYNE
562,A good time!,positive,B000G6RYNE
563,I believe that this place is a great stop for those with a huge belly and hankering for sushi.,positive,B000G6RYNE
564,Generous portions and great taste.,positive,B000G6RYNE
565,I will never go back to this place and will never ever recommended this place to anyone!,negative,B000G6RYNE
566,"The servers went back and forth several times, not even so much as an ""Are you being helped?""",negative,B000G6RYNE
567,Food was delicious!,positive,B000G6RYNE
568,AN HOUR... seriously?,negative,B000G6RYNE
569,I consider this theft.,negative,B000G6RYNE
570,Eew... This location needs a complete overhaul.,negative,B000G6RYNE
571,We recently witnessed her poor quality of management towards other guests as well.,negative,B000G6RYNE
572,Waited and waited and waited.,negative,B000G6RYNE
573,"He also came back to check on us regularly, excellent service.",positive,B000G6RYNE
574,Our server was super nice and checked on us many times.,positive,B000G6RYNE
575,"The pizza tasted old, super chewy in not a good way.",negative,B000G6RYNE
576,I swung in to give them a try but was deeply disappointed.,negative,B000G6RYNE
577,Service was good and the company was better!,positive,B000G6RYNE
578,The staff are also very friendly and efficient.,positive,B000G6RYNE
579,"As for the service: I'm a fan, because it's quick and you're being served by some nice folks.",positive,B000G6RYNE
580,Boy was that sucker dry!!.,negative,B000G6RYNE
581,Over rated.,negative,B000G6RYNE
582,"If you look for authentic Thai food, go else where.",negative,B000G6RYNE
583,Their steaks are 100% recommended!,positive,B000G6RYNE
584,After I pulled up my car I waited for another 15 minutes before being acknowledged.,negative,B000G6RYNE
585,Great food and great service in a clean and friendly setting.,positive,B000G6RYNE
586,"All in all, I can assure you I'll be back.",positive,B000G6RYNE
587,I hate those things as much as cheap quality black olives.,negative,B000G6RYNE
588,"My breakfast was perpared great, with a beautiful presentation of 3 giant slices of Toast, lightly dusted with powdered sugar.",positive,B000G6RYNE
589,The kids play area is NASTY!,negative,B000G6RYNE
590,Great place fo take out or eat in.,positive,B000G6RYNE
591,The waitress was friendly and happy to accomodate for vegan/veggie options.,positive,B000G6RYNE
592,OMG I felt like I had never eaten Thai food until this dish.,positive,B000G6RYNE
593,"It was extremely ""crumby"" and pretty tasteless.",negative,B000G6RYNE
594,It was a pale color instead of nice and char and has NO flavor.,negative,B000G6RYNE
595,The croutons also taste homemade which is an extra plus.,positive,B000G6RYNE
596,I got home to see the driest damn wings ever!,negative,B000G6RYNE
597,It'll be a regular stop on my trips to Phoenix!,positive,B000G6RYNE
598,I really enjoyed Crema Café before they expanded. I even told friends they had the BEST breakfast.,positive,B000G6RYNE
599,Not good for the money.,negative,B000G6RYNE
600,I miss it and wish they had one in Philadelphia!,positive,B000G6RYNE
601,"We got sitting fairly fast, but, ended up waiting 40 minutes just to place our order, another 30 minutes before the food arrived.",negative,B000G6RYNE
602,They also have the best cheese crisp in town.,positive,B000G6RYNE
603,"Good value, great food, great service.",positive,B000G6RYNE
604,Couldn't ask for a more satisfying meal.,positive,B000G6RYNE
605,The food is good.,positive,B000G6RYNE
606,It was awesome.,positive,B000G6RYNE
607,I just wanted to leave.,negative,B000G6RYNE
608,We made the drive all the way from North Scottsdale... and I was not one bit disappointed!,positive,B000G6RYNE
609,I will not be eating there again.,negative,B000G6RYNE
610,!....THE OWNERS REALLY REALLY need to quit being soooooo cheap let them wrap my freaking sandwich in two papers not one!,negative,B000G6RYNE
611,I checked out this place a couple years ago and was not impressed.,negative,B000G6RYNE
612,"The chicken I got was definitely reheated and was only ok, the wedges were cold and soggy.",negative,B000G6RYNE
613,"Sorry, I will not be getting food from here anytime soon :(",negative,B000G6RYNE
614,An absolute must visit!,positive,B000G6RYNE
615,The cow tongue and cheek tacos are amazing.,positive,B000G6RYNE
616,My friend did not like his Bloody Mary.,negative,B000G6RYNE
617,"Despite how hard I rate businesses, its actually rare for me to give a 1 star.",negative,B000G6RYNE
618,They really want to make your experience a good one.,positive,B000G6RYNE
619,I will not return.,negative,B000G6RYNE
620,I had the chicken Pho and it tasted very bland.,negative,B000G6RYNE
621,Very disappointing!!!,negative,B000G6RYNE
622,The grilled chicken was so tender and yellow from the saffron seasoning.,positive,B000G6RYNE
623,"a drive thru means you do not want to wait around for half an hour for your food, but somehow when we end up going here they make us wait and wait.",negative,B000G6RYNE
624,Pretty awesome place.,positive,B000G6RYNE
625,Ambience is perfect.,positive,B000G6RYNE
626,Best of luck to the rude and non-customer service focused new management.,negative,B000G6RYNE
627,Any grandmother can make a roasted chicken better than this one.,negative,B000G6RYNE
628,I asked multiple times for the wine list and after some time of being ignored I went to the hostess and got one myself.,negative,B000G6RYNE
629,"The staff is always super friendly and helpful, which is especially cool when you bring two small boys and a baby!",positive,B000G6RYNE
630,Four stars for the food & the guy in the blue shirt for his great vibe & still letting us in to eat !,positive,B000G6RYNE
631,The roast beef sandwich tasted really good!,positive,B000G6RYNE
632,"Same evening, him and I are both drastically sick.",negative,B000G6RYNE
633,High-quality chicken on the chicken Caesar salad.,positive,B000G6RYNE
634,Ordered burger rare came in we'll done.,negative,B000G6RYNE
635,We were promptly greeted and seated.,positive,B000G6RYNE
636,Tried to go here for lunch and it was a madhouse.,negative,B000G6RYNE
637,"I was proven dead wrong by this sushi bar, not only because the quality is great, but the service is fast and the food, impeccable.",positive,B000G6RYNE
638,"After waiting an hour and being seated, I was not in the greatest of moods.",negative,B000G6RYNE
639,This is a good joint.,positive,B001EPPFGO
640,The Macarons here are insanely good.,positive,B001EPPFGO
641,I'm not eating here!,negative,B001EPPFGO
642,"Our waiter was very attentive, friendly, and informative.",positive,B001EPPFGO
643,Maybe if they weren't cold they would have been somewhat edible.,negative,B001EPPFGO
644,This place has a lot of promise but fails to deliver.,negative,B007F96QQQ
645,Very bad Experience!,negative,B002HQH04O
646,What a mistake.,negative,B002HQH04O
647,Food was average at best.,negative,B0025Z7CGI
648,Great food.,positive,B007SESJWC
649,We won't be going back anytime soon!,negative,B001EPPCNK
650,Very Very Disappointed ordered the $35 Big Bay Plater.,negative,B001EPPCNK
651,Great place to relax and have an awesome burger and beer.,positive,B002U56JXU
652,It is PERFECT for a sit-down family meal or get together with a few friends.,positive,B002U56JXU
653,"Not much flavor to them, and very poorly constructed.",negative,B002BCD2OG
654,The patio seating was very comfortable.,positive,B002BCD2OG
655,The fried rice was dry as well.,negative,B002BCD2OG
656,Hands down my favorite Italian restaurant!,positive,B002BCD2OG
657,"That just SCREAMS ""LEGIT"" in my book...somethat's also pretty rare here in Vegas.",positive,B002BCD2OG
658,It was just not a fun experience.,positive,B002BCD2OG
659,The atmosphere was great with a lovely duo of violinists playing songs we requested.,positive,B002BCD2OG
660,"I personally love the hummus, pita, baklava, falafels and Baba Ganoush (it's amazing what they do with eggplant!).",positive,B002BCD2OG
661,"Very convenient, since we were staying at the MGM!",positive,B002BCD2OG
662,The owners are super friendly and the staff is courteous.,positive,B002BCD2OG
663,Both great!,positive,B002BCD2OG
664,Eclectic selection.,positive,B002BCD2OG
665,The sweet potato tots were good but the onion rings were perfection or as close as I have had.,positive,B002BCD2OG
666,The staff was very attentive.,positive,B002BCD2OG
667,And the chef was generous with his time (even came around twice so we can take pictures with him).,positive,B002BCD2OG
668,"The owner used to work at Nobu, so this place is really similar for half the price.",positive,B002BCD2OG
669,Google mediocre and I imagine Smashburger will pop up.,negative,B002BCD2OG
670,dont go here.,negative,B002BCD2OG
671,I promise they won't disappoint.,positive,B002BCD2OG
672,As a sushi lover avoid this place by all means.,negative,B002BCD2OG
673,What a great double cheeseburger!,positive,B00112B9T2
